,address,postcode,latitude,longitude,bedroom_number,bathroom_number,price_per_unit,living_space,price,predicted_price
190915,"7116 Hearthstone Rd NW, Albuquerque, NM 87114",87114.0,35.186848,-106.73529,5,4,162,2250,325000,984616
402903,"The Eldorado Plan, Palmilla Springs - Classic Series",76108.0,32.73373,-97.52029,4,4,189,2118,353990,858607
5913,"299 Riverhaven Ct, Richland, WA 99354",99354.0,46.345398,-119.26784,4,5,181,2926,485000,1897445
575204,"7244 S Honore St, Chicago, IL 60636",60636.0,41.761677,-87.67016,6,3,182,1348,199900,296207
544861,"4368 Enright Ave, Saint Louis, MO 63108",63108.0,38.649433,-90.24961,5,5,79,3723,274900,1306881
306509,"17701 Zinfandel Dr, Pflugerville, TX 78660",78660.0,30.451508,-97.53672,4,3,282,2004,496077,588019
168592,"2877 Paradise Rd UNIT 2704, Las Vegas, NV 89109",89109.0,36.136757,-115.156815,4,6,530,4353,2175000,2481063
550853,"5702 Goethe Ave, Saint Louis, MO 63109",63109.0,38.580296,-90.29166,5,3,151,2567,350000,331713
328692,"7130 Mountain Grv, San Antonio, TX 78250",78250.0,29.503824,-98.66521,4,3,153,2134,289900,626111
491655,"219 Bayou Parc Dr, Youngsville, LA 70592",70592.0,30.12113,-92.005,4,4,180,2162,344160,762963
471889,"47 Magnolia Dr, Cabot, AR 72023",72023.0,34.947056,-91.99781,4,3,119,1586,160000,304966
96264,"52 Baltimore Way, San Francisco, CA 94112",94112.0,37.709724,-122.43155,3,2,752,1829,1188000,699277
89740,"30 Stirling Way, Hayward, CA 94542",94542.0,37.647713,-122.00782,5,7,596,4608,2599000,2819892
306936,"Plan Lyndhurst Plan, Santa Rita Ranch North: 40ft. lots",78642.0,30.667444,-97.836464,4,4,303,2301,621990,975025
376187,"Mackenzie Creek - Devonhurst II Plan, Mackenzie Creek",77301.0,30.294872,-95.40482,5,4,142,2197,276990,767642
373341,"Martin Ray Plan, Del Webb - The Woodlands",77382.0,30.223364,-95.53975,3,3,223,2234,443990,787480
314220,"176 Martin Crossing Dr, Cedar Creek, TX 78612",78612.0,30.094357,-97.45455,4,3,296,1431,350000,382678
179682,"619 E Fairway Rd, Henderson, NV 89015",89015.0,36.021683,-114.98399,5,4,274,3052,769000,1309037
361179,"806 Comstock Springs Dr, Katy, TX 77450",77450.0,29.772661,-95.76677,4,3,156,2042,279900,577149
212674,"2740 S Via Del Bac, Green Valley, AZ 85622",85622.0,31.830132,-111.01678,3,3,195,2300,400000,977341
124728,"12692 Scree Way, Moreno Valley, CA 92555",92555.0,33.936436,-117.18555,4,4,313,1792,482990,1074307
309841,"Caldwell Plan, West Cypress Hills",78669.0,30.355095,-98.07969,5,4,182,3355,565990,1208279
25350,"15125 116th Avenue Ct E, Puyallup, WA 98374",98374.0,47.118664,-122.273865,5,4,261,3295,795000,1584615
100906,"3060 Atwater Dr, Burlingame, CA 94010",94010.0,37.58108,-122.39806,5,3,1226,2450,2698000,913704
74968,"3576 Green Glen Ct, Cameron Park, CA 95682",95682.0,38.666653,-120.992584,4,3,385,1999,675000,929817
283342,"267 Columbine Road, Palmer Lake, CO 80133",80133.0,39.123405,-104.9149,6,3,196,3050,550000,704384
349839,"410 Creekside Ct, League City, TX 77573",77573.0,29.498755,-95.145325,5,5,200,4131,779000,1744372
109015,"1550 20th St W SPACE 42, Rosamond, CA 93560",93560.0,34.84372,-118.164215,4,3,80,1690,115950,776774
169742,"1416 Palantine Hill Dr, Las Vegas, NV 89117",89117.0,36.155132,-115.302895,6,5,228,3753,799999,1699338
544606,"4405 Arco Ave, Saint Louis, MO 63110",63110.0,38.62843,-90.25875,4,5,138,2592,325000,1046749
511677,"641 NW 40th Rd, Great Bend, KS 67530",67530.0,38.418392,-98.89376,3,2,48,1475,60000,36470
428957,"4416 Tortuga Ln, McKinney, TX 75070",75070.0,33.15618,-96.70662,5,5,205,3778,724900,1567945
287113,"5212 Dillon Street, Denver, CO 80239",80239.0,39.78976,-104.82057,4,3,309,1476,380000,431568
450439,"Hummingbird Plan, Nichols Creek",73099.0,35.5946,-97.67768,5,3,201,2050,363340,348957
64196,"12-244 E Pohakupele Loop, Pahoa, HI 96778",96778.0,19.410997,-154.92307,3,2,376,754,190000,369667
515844,"16837 Melrose St, Overland Park, KS 66221",66221.0,38.82088,-94.70739,6,7,154,4928,725000,2219158
222550,"1352 N Hibbert, Mesa, AZ 85201",85201.0,33.44027,-111.82585,4,3,271,2622,644900,940469
35382,"21365 Back Alley Rd, Bend, OR 97702",97702.0,43.99224,-121.25593,5,3,601,2410,1299900,973959
539216,"18105 E 26th Terrace Ct S, Independence, MO 64057",64057.0,39.07027,-94.365524,4,4,109,2943,295000,909617
588828,"5746 N Moody Ave, Chicago, IL 60646",60646.0,41.98607,-87.78196,5,5,184,3779,649900,1277160
149193,"6716 Clybourn Ave UNIT 232, North Hollywood, CA 91606",91606.0,34.192604,-118.36254,4,3,485,1485,599999,664216
472502,"136 W Dodson St, Arkadelphia, AR 71923",71923.0,34.204273,-93.05501,4,3,107,2382,228999,586857
263093,"794 Castle Valley Blvd APT J, New Castle, CO 81647",81647.0,39.57048,-107.51226,3,3,225,1803,350000,719842
130553,"26226 Sky Ridge Dr, Twin Peaks, CA 92391",92391.0,34.24568,-117.231384,4,3,454,1274,465000,604803
427140,"3141 Hamilton St, Plano, TX 75075",75075.0,33.009857,-96.751,5,5,268,2291,549000,1037676
325262,"1921 Caroline Ave, Alice, TX 78332",78332.0,27.770609,-98.05197,7,7,146,6056,850000,2722716
303277,"3209 Sauls Dr, Austin, TX 78728",78728.0,30.456612,-97.683624,5,4,269,2367,571000,857079
48647,"4830 SE Stark St APT 3, Portland, OR 97215",97215.0,45.518967,-122.61295,3,3,348,1210,335000,822569
14155,"12010 NW 41st Ave, Vancouver, WA 98685",98685.0,45.70809,-122.71398,6,4,267,3524,874900,1529348
164795,"3218 Inez St, Los Angeles, CA 90023",90023.0,34.030994,-118.20221,4,3,723,1217,700000,536676
219017,"48138 W Willetta St, Tonopah, AZ 85354",85354.0,33.463474,-113.0897,4,3,64,1020,50000,372170
123892,"31404 Tulette Ln, Winchester, CA 92596",92596.0,33.602547,-117.11148,5,4,256,2546,589000,1200842
176358,"1524 Gentle Brook St, North Las Vegas, NV 89084",89084.0,36.27969,-115.16344,7,6,180,3796,640000,1852225
