,address,postcode,latitude,longitude,bedroom_number,bathroom_number,price_per_unit,living_space,price,predicted_price
352348,"2004 N Mission Cir, Friendswood, TX 77546",77546.0,29.48897,-95.20924,5,4,150,2672,365000,942006
413006,"355 County Road 3900, Hawkins, TX 75765",75765.0,32.673557,-95.239136,4,3,718,1850,1150000,474657
53331,"45 Eagle Crest Dr APT 405, Lake Oswego, OR 97035",97035.0,45.43607,-122.70924,3,3,184,1306,195000,853176
359568,"9602 Oakland Lake Way, Missouri City, TX 77459",77459.0,29.494413,-95.52052,6,5,166,3947,615000,1533221
284557,"12664 W Bowles Place, Littleton, CO 80127",80127.0,39.60923,-105.14141,3,4,236,2351,497000,1166055
306377,"18621 Willie Dr, Pflugerville, TX 78660",78660.0,30.448622,-97.56226,5,5,209,2813,535900,1296220
197998,"1975 Blooming Hills Dr UNIT 215, Prescott, AZ 86301",86301.0,34.577797,-112.44594,4,3,251,1611,342000,602077
40970,"2120 Cullison Ln, Grants Pass, OR 97527",97527.0,42.414555,-123.349144,3,2,346,1114,299000,513187
320088,"611 S 1st Ln, McAllen, TX 78501",78501.0,26.195967,-98.221146,5,4,179,4289,725000,1538019
37390,"6327 Franklin Avenue SE, Auburn, WA 98092",98092.0,47.250603,-122.191826,5,5,280,2744,700000,1663836
113703,"9116 Pinyon Point Ct, Corona, CA 92883",92883.0,33.769238,-117.50097,4,5,369,2580,859900,1643423
519124,"16310 S Central St, Olathe, KS 66062",66062.0,38.833714,-94.79687,5,4,153,2307,315000,580021
96400,"880 E Fremont Ave APT 304, Sunnyvale, CA 94087",94087.0,37.35183,-122.015045,2,2,853,983,625888,540251
122992,"2344 San Arturo Ave, Hemet, CA 92545",92545.0,33.755615,-116.996315,4,2,240,1077,199000,256209
38278,"2915 W St, Springfield, OR 97477",97477.0,44.069942,-122.981804,6,4,195,2785,496700,1241385
312891,"101 King Thistle Ct, Georgetown, TX 78626",78626.0,30.595098,-97.66524,5,4,222,2959,603670,1066169
598771,"100 E Walton St APT 22H, Chicago, IL 60611",60611.0,41.900303,-87.62483,2,2,412,1000,309000,129382
3128,"1401 Latouche St #2, Anchorage, AK 99501",99501.0,61.20855,-149.86044,4,5,183,2187,355000,1636832
360131,"4834 Caliburn Cir, Missouri City, TX 77459",77459.0,29.522327,-95.53379,5,5,191,3652,650000,1571226
569086,"615 W Wall St, Morrison, IL 61270",61270.0,41.810772,-89.97646,4,2,34,1510,43900,220623
290921,"5212 Rio Grande Ave, Midland, TX 79707",79707.0,32.020638,-102.158,4,3,196,1369,220000,382666
96107,"786 Lakemuir Dr, Sunnyvale, CA 94089",94089.0,37.39427,-122.002,4,3,1492,1358,1653888,669037
114345,"3750 Paradise Rd #99, Santa Barbara, CA 93105",93105.0,34.5406,-119.8287,2,2,313,649,125000,401302
275255,"25 Huntington Beach Dr, Colorado Springs, CO 80921",80921.0,39.03702,-104.82506,5,5,269,4337,1100000,1885424
540375,"3624 S Ralston Ave, Independence, MO 64052",64052.0,39.056065,-94.454414,4,3,95,2768,239900,565660
28263,"19 152nd Place SE, Lynnwood, WA 98087",98087.0,47.859966,-122.23222,6,4,401,2609,948000,1190923
530635,"815 Dean Dr, Jefferson City, MO 65109",65109.0,38.607746,-92.22607,5,4,85,2928,230000,782278
158825,"17031 Van Ness Ave, Torrance, CA 90504",90504.0,33.875652,-118.31811,4,3,792,1422,929000,619502
382596,"4622 Kingsbury St, Houston, TX 77021",77021.0,29.696503,-95.34505,5,3,164,1887,270000,369983
195725,"1970 Tesoro Loop, Los Lunas, NM 87031",87031.0,34.829178,-106.74259,5,3,223,2103,413990,649072
512959,"2533 W Bobwhite Rd, Wichita, KS 67204",67204.0,37.723743,-97.37213,4,3,95,2608,224900,572214
15051,"4721 Parkside Drive SE, Lacey, WA 98503",98503.0,47.003742,-122.815575,5,4,264,2140,500000,1175264
414118,"1609 Bois D Arc St, Commerce, TX 75428",75428.0,33.246525,-95.906494,1,1,63,2422,137500,538662
205878,"3128 W Avenida Destino, Tucson, AZ 85746",85746.0,32.12002,-111.03358,5,3,200,1544,260000,423755
57143,"10474 NE Park Ridge Way, Hillsboro, OR 97006",97006.0,45.532066,-122.87183,4,4,273,2152,519900,1292550
520713,"8470 Peoria St, De Soto, KS 66018",66018.0,38.97521,-94.97086,4,4,175,2384,375000,749820
250749,"1787 W Boyles Ave, Hayden Lake, ID 83835",83835.0,47.757034,-116.810715,5,3,325,2250,650000,636992
251766,"1950 W Bellerive Ln UNIT 202, Coeur D Alene, ID 83814",83814.0,47.69235,-116.80996,3,3,978,1527,1250000,665140
183438,"1006 N Main St, Carlsbad, NM 88220",88220.0,32.432835,-104.22599,4,3,126,1474,155000,591947
448945,"517 NW 48th St, Oklahoma City, OK 73118",73118.0,35.52067,-97.52187,3,2,206,1210,198000,54744
174832,"8138 Shale Canyon St, Las Vegas, NV 89139",89139.0,36.041313,-115.2261,5,5,225,3238,674900,1659319
556422,"3448 Flucom Rd, De Soto, MO 63020",63020.0,38.111652,-90.500496,4,4,177,3008,489900,911869
454320,"1409 Forest Glenn Cir, Norman, OK 73071",73071.0,35.23263,-97.421326,4,3,162,1450,195000,277612
258010,"12864 S Arezzo Way, Nampa, ID 83686",83686.0,43.559505,-116.63039,4,4,233,2232,463495,1052226
162664,"6064 Horner St, Los Angeles, CA 90035",90035.0,34.04917,-118.37371,6,5,639,3050,1790000,1467128
328289,"4 Chipping Gln, San Antonio, TX 78257",78257.0,29.663319,-98.62013,5,5,173,4872,799999,2022472
450113,"10102 N 147th East Ave, Owasso, OK 74055",74055.0,36.29989,-95.81038,5,4,156,2791,398688,913985
379165,"2626 W Tidwell Rd #F, Houston, TX 77091",77091.0,29.84672,-95.445366,4,4,182,2001,319000,836718
375469,"2811 Delano St, Houston, TX 77004",77004.0,29.73477,-95.35972,4,5,227,2340,474800,1237312
24682,"12411 204th Avenue Ct E, Bonney Lake, WA 98391",98391.0,47.142925,-122.15752,4,4,325,2096,599950,1300532
546974,"200 S Kirkwood Rd UNIT 317, Saint Louis, MO 63122",63122.0,38.579445,-90.40619,2,3,276,1118,239900,244826
17126,"210 Cypress St, Longview, WA 98632",98632.0,46.12669,-122.96739,10,4,205,2004,359900,413248
110228,"7900 Marchant Ave, Atascadero, CA 93422",93422.0,35.47271,-120.66395,7,5,349,2818,898000,1309522
395328,"2216 Lakeway Dr, Keller, TX 76248",76248.0,32.92137,-97.20115,6,4,220,3647,750000,1120338
95260,"882 Chenery St, San Francisco, CA 94131",94131.0,37.73526,-122.43677,4,3,1152,1547,1495000,737295
34119,"20606 Over Under Ct, Bend, OR 97701",97701.0,44.1078,-121.29286,4,3,445,1370,499000,746223
386353,"8120 Safebuy St, Houston, TX 77028",77028.0,29.827032,-95.27758,4,4,146,1951,249999,817613
37335,"4046 324th Lane SE, Fall City, WA 98024",98024.0,47.5716,-121.9086,4,4,515,3294,1569950,1720416
209448,"370 S Freeman Rd, Tucson, AZ 85748",85748.0,32.21665,-110.73915,6,7,282,4492,1200000,2457793
493165,"101 Briarwood Dr, Sunset, LA 70584",70584.0,30.421085,-92.07118,4,3,140,1354,155000,193173
47657,"716 N Humboldt St, Portland, OR 97217",97217.0,45.558155,-122.674225,3,2,591,1087,495000,497300
89712,"14777 Navaro Court Ct, La Grange, CA 95329",95329.0,37.667114,-120.32203,3,2,334,1222,325000,507342
436197,"LOT 34 Willow Tree Ln, Pottsboro, TX 75076",75076.0,33.80472,-96.6837,4,3,176,1838,279960,456470
249366,"464 N Hill View Dr #2022, Eagle Mountain, UT 84005",84005.0,40.34998,-111.96241,5,4,180,5031,863497,1913764
577144,"21 N May St #901, Chicago, IL 60607",60607.0,41.88246,-87.65555,5,6,819,3910,2999000,1604535
277876,"1700 Bassett Street  Unit 1412, Denver, CO 80202",80202.0,39.756462,-105.00314,3,3,757,1458,915000,567624
140071,"Plan 2 Plan, Townsend at Mission Circle",92078.0,33.131374,-117.173584,4,4,421,2181,813000,1203424
374643,"40 La Jolla Cir, Montgomery, TX 77356",77356.0,30.392218,-95.64833,8,13,281,17643,4900000,8381171
349709,"4007 Mason Dr, Galveston, TX 77554",77554.0,29.143942,-95.04568,4,3,409,1590,549000,418033
273501,"3208 Bryce Dr, Fort Collins, CO 80525",80525.0,40.543503,-105.02269,5,5,199,3756,699000,1670205
428528,"1315 Garza Ln, Little Elm, TX 75068",75068.0,33.136513,-96.984726,5,5,562,4697,2500000,1895686
363918,"4519 Hronas Dr, Katy, TX 77449",77449.0,29.837282,-95.72823,6,6,136,3824,487040,1770587
58628,"46-182 Hinalani St, Kaneohe, HI 96744",96744.0,21.425303,-157.81017,4,3,606,2228,1200000,1032930
239103,"3679 S 2200 W APT 53, West Valley, UT 84119",84119.0,40.69249,-111.9471,3,2,307,1128,270000,247547
258780,"1101 Pinewood St, Pocatello, ID 83202",83202.0,42.91487,-112.491196,7,4,176,3188,520000,953766
264511,"111 Scott Hill Rd #11, Beaver Creek, CO 81620",81620.0,39.606026,-106.52016,4,5,1331,2728,3300000,1468872
388076,"6919 Victoria St, Houston, TX 77020",77020.0,29.782963,-95.300255,4,3,197,1256,199000,288126
32018,"115 215th Street SE UNIT 6, Bothell, WA 98021",98021.0,47.803207,-122.23096,5,4,451,3079,1277740,1500449
428731,"561 Meandering Ln, Little Elm, TX 75068",75068.0,33.209595,-96.88649,6,5,174,4279,702045,1603375
386833,"4853 Clover St, Houston, TX 77033",77033.0,29.661283,-95.35049,4,3,180,1357,200000,324413
171546,"673 Warren Way, Fernley, NV 89408",89408.0,39.59292,-119.21716,4,3,205,1810,319900,735768
407663,"Primrose VI Plan, Hayes Crossing",76065.0,32.47838,-96.921265,7,6,166,4285,671990,1763855
90993,"804 Hamilton Dr, Pleasant Hill, CA 94523",94523.0,37.938778,-122.08689,5,4,663,2502,1495000,1224044
255535,"201 N Austin Ave, Sugar City, ID 83448",83448.0,43.875717,-111.74844,4,2,252,1300,265000,152128
584228,"1825 N Halsted St APT 3, Chicago, IL 60614",60614.0,41.914604,-87.648056,6,6,583,4019,2200000,1500331
210003,"14479 S Camino Larga Vis, Sahuarita, AZ 85629",85629.0,31.987242,-110.97129,4,3,267,1501,335000,549279
38101,"502 19th St, Springfield, OR 97477",97477.0,44.04966,-122.997475,3,2,324,1174,300000,533578
523181,"105 S Cliborne Ave, Republic, MO 65738",65738.0,37.11825,-93.48416,5,3,113,2101,210000,218569
444288,"417 Somerville Dr, McKinney, TX 75071",75071.0,33.28444,-96.61764,4,4,210,2080,384552,824122
558355,"1342 Rosewood Dr, Mount Zion, IL 62549",62549.0,39.787254,-88.88961,3,2,126,1235,125000,149669
413140,"108 Enchanted Ct N, Burleson, TX 76028",76028.0,32.548935,-97.258675,6,5,346,5150,1699000,1933412
443861,"14827 E 34th St S, Tulsa, OK 74134",74134.0,36.116173,-95.810646,4,3,94,2002,165000,495950
134449,"9391 Blue Ridge St, Desert Hot Springs, CA 92240",92240.0,33.978676,-116.54325,4,3,279,1661,395000,739787
537290,"2329 NE Lake Breeze Ln, Lees Summit, MO 64086",64086.0,38.940083,-94.3243,5,5,211,5794,1175000,2065287
409012,"Hawthorne Plan, Dove Chase",76063.0,32.541634,-97.115555,5,3,214,2485,478990,563936
569508,"305 9th St, La Salle, IL 61301",61301.0,41.336586,-89.102104,5,4,83,1990,145000,370858
2835,"675 W 87th Ave, Anchorage, AK 99515",99515.0,61.142796,-149.89166,5,3,197,1642,275000,736630
586806,"4832 Shumard Ln, Naperville, IL 60564",60564.0,41.68177,-88.23169,6,5,225,3798,799000,1139059
296663,"1201 Adrian St, Lubbock, TX 79403",79403.0,33.62534,-101.84781,4,3,129,1558,169000,443941
539153,"508 Commercial St, Mendon, MO 64660",64660.0,39.59287,-93.13397,3,2,61,1300,64500,83876
413720,"1306 Blue Lake Blvd, Arlington, TX 76005",76005.0,32.796074,-97.08275,5,6,266,3990,995000,1943871
287719,"3494 W 154th Place, Broomfield, CO 80023",80023.0,39.976593,-105.03331,5,5,264,5775,1460000,2380191
295489,"12329 Desert Gold Dr, El Paso, TX 79938",79938.0,31.88304,-106.14244,5,4,165,2167,316305,810168
494332,"2026 McDonald St, Mandeville, LA 70448",70448.0,30.367523,-90.028595,4,4,162,1786,249000,625948
226466,"4800 N 68th St UNIT 238, Scottsdale, AZ 85251",85251.0,33.506042,-111.93695,3,3,254,1878,414000,819337
373880,"40331 Bay Warbler Way, Magnolia, TX 77354",77354.0,30.226015,-95.70226,5,4,157,2525,359335,885699
76223,"4620 Oren Ave, Corning, CA 96021",96021.0,39.931133,-122.15887,4,3,116,2824,299000,1230913
112474,"608 Charles St, Moorpark, CA 93021",93021.0,34.2859,-118.8737,3,3,403,1551,525000,859539
274839,"1327 Plentiful Dr, Colorado Springs, CO 80921",80921.0,38.99635,-104.80229,5,5,267,2398,575000,1193839
460467,"3409 E Chism St, Paris, AR 72855",72855.0,35.295673,-93.69958,5,4,81,2704,199500,858733
232280,"5417 S 2nd St, Phoenix, AZ 85040",85040.0,33.39703,-112.0709,7,3,228,2550,524999,481871
246407,"3715 N 1480th St E #K302, Lehi, UT 84043",84043.0,40.392242,-111.82606,4,3,277,1586,371374,547584
21259,"3000 Ham Hill Road, Centralia, WA 98531",98531.0,46.711456,-122.92667,4,4,265,4392,1099950,2122275
516616,"800 N Sagebrush St, Wichita, KS 67230",67230.0,37.698635,-97.16357,5,5,107,3046,300000,1148615
290873,"5211 Ellen Jayne Way, Midland, TX 79707",79707.0,32.05495,-102.16943,4,4,984,3258,2962500,1337856
514932,"3327 SW 44th Ter, Topeka, KS 66610",66610.0,38.986294,-95.71763,6,4,167,3080,474900,723567
434051,"3086 Greenfield Dr, Richardson, TX 75082",75082.0,32.98961,-96.647995,5,5,177,3200,525000,1362032
521004,"2228 W Glen Gary Ct, Springfield, MO 65810",65810.0,37.133965,-93.32465,3,3,172,1990,300000,466877
27154,"3300 Meridian Avenue N UNIT 313, Seattle, WA 98103",98103.0,47.64762,-122.33356,3,3,596,1574,790000,970321
79457,"12932 Magnolia Rd, Grass Valley, CA 95949",95949.0,39.05039,-121.04522,4,3,341,2148,649000,988350
31743,"3901 243rd Place SE UNIT O102, Bothell, WA 98021",98021.0,47.777264,-122.17741,2,2,472,989,349000,621797
577498,"10422 S Vernon Ave, Chicago, IL 60628",60628.0,41.704796,-87.61282,4,3,145,1450,175000,26456
205497,"2935 S Oneida Ln, Camp Verde, AZ 86322",86322.0,34.526527,-111.79098,4,3,131,1350,145000,509410
64597,"2191 S Kihei Rd APT 1124, Kihei, HI 96753",96753.0,20.72563,-156.44647,2,2,969,838,570000,542346
580459,"313 S Racine Ave #5D, Chicago, IL 60607",60607.0,41.877518,-87.65701,4,4,407,2410,880900,649875
281464,"423 Boyd Street, Golden, CO 80403",80403.0,39.763268,-105.22213,4,2,520,1517,660000,168063
152408,"6587 Hartford Ct, Rancho Cucamonga, CA 91701",91701.0,34.132713,-117.56397,4,3,503,1640,699900,721417
394572,"6028 Lindy Ln, Watauga, TX 76148",76148.0,32.86276,-97.25073,4,3,189,1387,215000,317249
237593,"Ravenstone Plan, Marble Hills",84337.0,41.707794,-112.32312,6,4,125,5785,692750,2046173
169604,"4508 Del Oro Dr, Las Vegas, NV 89102",89102.0,36.132336,-115.20146,4,4,203,1615,278000,941479
86679,"516 Crespi Pl, San Lorenzo, CA 94580",94580.0,37.69033,-122.11985,6,5,523,2064,950000,1207189
290235,"Ashford Plan, Village Cooperative of Broomfield (Active Adults 62+)",80020.0,39.91501,-105.072754,2,2,158,1141,141000,312669
159274,"11847 Gorham Ave APT 308, Los Angeles, CA 90049",90049.0,34.052013,-118.46904,3,4,889,1711,1300000,1138057
368874,"23 Ida Olivia Ln, Huntsville, TX 77320",77320.0,30.80992,-95.52201,4,4,226,1995,394900,839200
241038,"1593 W 220 N #240, Pleasant Grove, UT 84062",84062.0,40.366215,-111.7603,4,4,284,2081,520950,1005958
73121,"3455 Nut Plains Dr, Sacramento, CA 95827",95827.0,38.570396,-121.30924,4,3,409,1504,514000,756191
237927,"6740 S Lazy Bar Cir, Cottonwood Heights, UT 84121",84121.0,40.62858,-111.822914,6,4,272,2998,750000,1047771
188129,"3752 Mount Rainier Dr NE #3752, Albuquerque, NM 87111",87111.0,35.125294,-106.50055,4,3,185,2141,350000,807462
442229,"53160 E 110th Rd, Miami, OK 74354",74354.0,36.860096,-94.92558,4,4,99,2762,249900,1052899
99941,"1820 E Avenue Q9, Palmdale, CA 93550",93550.0,34.578007,-118.09596,4,3,100,1749,150000,797615
242772,"1754 E Kudu Ct, Draper, UT 84020",84020.0,40.516975,-111.84129,5,4,280,4700,1250000,1796009
155492,"1436 N Summit Ave, Pasadena, CA 91103",91103.0,34.170498,-118.14701,4,3,537,1979,929888,830258
455312,"2595 N Luther Rd, Harrah, OK 73045",73045.0,35.49532,-97.19572,4,2,248,2188,482000,258872
482205,"619 Adelia Ln, Baton Rouge, LA 70806",70806.0,30.44477,-91.11243,6,7,464,6166,2750000,2753263
264319,"255 Wild Rose, Avon, CO 81620",81620.0,39.662533,-106.5236,6,8,1890,11354,20995000,5103387
327396,"9933 Trophy Oaks Dr, San Antonio, TX 78266",78266.0,29.637344,-98.29235,6,6,305,4338,1250000,1970407
292527,"1393 Amarillo St, Abilene, TX 79602",79602.0,32.432438,-99.746414,4,3,97,1785,149900,528922
211501,"13912 N Swift Spear Dr, Marana, AZ 85658",85658.0,32.459232,-111.20146,5,4,104,2500,234800,1044395
231770,"22241 N 31st Dr, Phoenix, AZ 85027",85027.0,33.68894,-112.126396,4,3,345,1336,375000,478278
436400,"1060 Quail Valley Rd, Allen, TX 75013",75013.0,33.11612,-96.68657,3,3,369,1892,606400,617681
546190,"3165 Bentwater Pl, Saint Charles, MO 63301",63301.0,38.827778,-90.49097,4,4,165,1910,273900,525916
524124,"232 Cambridge Dr, Pratt, KS 67124",67124.0,37.6487,-98.72822,4,3,72,1842,115000,297390
138788,"7921 Dancy Rd, San Diego, CA 92126",92126.0,32.90979,-117.15332,5,3,794,1616,1085000,578213
469683,"3417 N Cedar St, North Little Rock, AR 72116",72116.0,34.786667,-92.25723,4,3,107,1867,174000,407067
336422,"1206 Williams Way, New Braunfels, TX 78130",78130.0,29.707796,-98.05939,4,3,213,2213,418990,651865
76712,"1803 Falcon Ridge Dr, Petaluma, CA 94954",94954.0,38.24203,-122.59058,5,4,456,3010,1259000,1413933
142574,"80588 Hoylake Dr, Indio, CA 92201",92201.0,33.736286,-116.26089,3,3,419,2081,768000,1032024
51544,"2635 NW Birkendene St, Portland, OR 97229",97229.0,45.542732,-122.77099,4,5,277,4029,1050000,2247961
211947,"1241 N Vail View Rd, Vail, AZ 85641",85641.0,31.985867,-110.71453,3,3,261,1570,345000,717354
316145,"4760 River Oaks Dr, Kingsland, TX 78639",78639.0,30.651243,-98.48752,5,4,471,3532,1547500,1270804
86212,"120 Sadi St, Santa Cruz, CA 95060",95060.0,36.967136,-122.038124,4,2,951,1774,1450000,555572
511926,"2503 Broadway Ave, Great Bend, KS 67530",67530.0,38.366253,-98.77216,5,4,97,2500,219000,678490
590855,"2322 S Kirkland Ave, Chicago, IL 60623",60623.0,41.84887,-87.73366,5,3,144,2190,279900,147069
122453,"17722 Santiago Canyon Rd, Silverado, CA 92676",92676.0,33.704872,-117.64109,8,4,460,5684,2500000,1892023
546561,"6001 Lake Ave, Saint Joseph, MO 64504",64504.0,39.713856,-94.87058,2,2,149,1454,179900,111124
587125,"14216 S Manassas Ln, Plainfield, IL 60544",60544.0,41.625076,-88.15851,4,4,172,1874,280000,457427
166477,"Viewmont Elite Plan, The Cliffs at Somersett",89523.0,39.538048,-119.951866,4,5,303,4438,1271995,2238298
391500,"410 S Reagan St, Hamilton, TX 76531",76531.0,31.699148,-98.12109,3,3,75,2158,145000,743196
459177,"10236 Hidden Village Dr, Oklahoma City, OK 73120",73120.0,35.576477,-97.54405,4,3,136,1757,205000,388099
497893,"402 Julia St APT 308, New Orleans, LA 70130",70130.0,29.944818,-90.067535,3,3,481,1029,374900,211313
322294,"109 Oxbow Ter, Bastrop, TX 78602",78602.0,30.0994,-97.33924,4,3,159,1785,244990,508737
332615,"Independence Plan, Winding Brook",78253.0,29.510065,-98.76788,4,3,208,1747,311990,488139
92678,"243 Hawkins St, Vallejo, CA 94591",94591.0,38.105843,-122.19053,4,3,414,1795,639900,835034
291112,"Plateau Plan, Buffalo Highlands : Paired Homes",80022.0,39.8693,-104.7817,4,4,273,2053,492900,914426
446376,"16614 N Javine Hill Rd, Skiatook, OK 74070",74070.0,36.393585,-96.04324,4,3,124,2223,245000,573483
51011,"5182 NW Stardown Dr LOT 202, Corvallis, OR 97330",97330.0,44.59448,-123.31214,4,3,342,2053,617299,982341
306449,"17712 Bridgefarmer Blvd, Pflugerville, TX 78660",78660.0,30.454382,-97.556335,4,3,237,2145,450000,638310
572101,"12411 S Elizabeth St, Riverdale, IL 60827",60827.0,41.668163,-87.6522,5,2,87,1450,105000,394187
137847,"61375 Sun Ter, Landers, CA 92285",92285.0,34.2632,-116.32359,5,4,175,2984,479000,1350787
40540,"445 E Jennie Ave, Hermiston, OR 97838",97838.0,45.846825,-119.28363,4,3,118,1090,99900,649120
408112,"5411 Mulberry Ln, Midlothian, TX 76065",76065.0,32.482426,-96.92596,5,5,194,3438,619900,1466761
173595,"6632 Light Breeze Dr, Las Vegas, NV 89108",89108.0,36.215603,-115.24079,3,3,322,1486,399000,757374
291633,"2616 Gray Wolf Point, Castle Rock, CO 80104",80104.0,39.325676,-104.83506,4,4,264,2430,576080,1050546
462137,"1401 NW 12th St, Newcastle, OK 73065",73065.0,35.258263,-97.61489,4,3,165,1850,264777,420159
292274,"3101 W 47th Avenue  Unit 13, Denver, CO 80211",80211.0,39.782497,-105.02656,3,4,491,1671,698500,925215
118358,"3220 Via Carrizo UNIT B, Laguna Woods, CA 92637",92637.0,33.60755,-117.74094,4,3,538,1503,675000,691446
536971,"801 NE 46th St, Kansas City, MO 64116",64116.0,39.17681,-94.57053,4,2,148,1328,159950,228092
66168,"127 Thompson Ave, Ukiah, CA 95482",95482.0,39.12867,-123.20611,5,3,277,2050,499900,800747
114776,"53 Central Ave, Fillmore, CA 93015",93015.0,34.3943,-118.91245,4,4,260,2541,596415,1350739
449179,"16542 NE 180th St, Fletcher, OK 73541",73541.0,34.835403,-98.174515,4,3,72,2050,130000,501101
141501,"619 Beyer Way UNIT 805, San Diego, CA 92154",92154.0,32.585106,-117.059845,4,4,345,1896,569000,1103307
175073,"4778 Pagosa Springs Dr, Las Vegas, NV 89139",89139.0,36.04398,-115.205795,5,4,267,1912,445000,904935
13999,"12214 NW 25th Court, Vancouver, WA 98685",98685.0,45.70983,-122.69744,6,4,269,3162,785000,1400233
491613,"109 Dorian Dr, Lafayette, LA 70501",70501.0,30.226719,-91.9942,6,3,126,2261,255000,228553
177041,"Avery Plan, Silverado Valley : The Enclave",89141.0,36.0113,-115.1902,4,4,260,2301,534990,1186943
93051,"Hickory 2 Plan, Twin Oaks - Grove",94583.0,37.77801,-121.99605,5,4,770,1961,1318995,1032296
515285,"5519 SW 27th Ter, Topeka, KS 66614",66614.0,39.01835,-95.74806,5,3,94,1841,149990,143516
48890,"8422 SE 65th Ave, Portland, OR 97206",97206.0,45.46285,-122.596275,4,3,494,1262,499999,697711
292525,"11272 Bella Vita Drive, Broomfield, CO 80020",80020.0,39.94539,-105.12454,4,4,400,1678,571530,780634
24345,"2607 Western Ave UNIT 608, Seattle, WA 98121",98121.0,47.614765,-122.3513,3,3,862,1172,795000,827302
46877,"9010 SW Inez St, Tigard, OR 97224",97224.0,45.414993,-122.76988,5,4,291,4533,1250000,2002962
86499,"1 Liberty Ln, Petaluma, CA 94952",94952.0,38.243355,-122.648705,4,5,366,2094,675000,1511843
227327,"Sage Plan 4022 Plan, Peralta Canyon : Horizon",85118.0,33.3488,-111.4286,5,4,203,2524,461990,1042055
117050,"82 Trumpet Vine St #59, Ladera Ranch, CA 92694",92694.0,33.55214,-117.633095,4,4,453,2234,899999,1234761
406075,"7058 Fm 319, Elkhart, TX 75839",75839.0,31.552769,-95.65803,4,4,533,2825,1375000,1105344
20933,"426 Port Hadlock Heights Rd, Pt Hadlock, WA 98339",98339.0,48.027695,-122.75886,4,3,131,2530,299950,1172839
233211,"1147 W 750 S #15, Spanish Fork, UT 84660",84660.0,40.100628,-111.62446,4,4,189,2782,480899,1268055
90919,"566 Almanor St, Brentwood, CA 94513",94513.0,37.9316,-121.68721,4,4,395,2134,745900,1235810
595235,"51 Lakeshore Dr, Wilmington, IL 60481",60481.0,41.27687,-88.20608,3,2,105,820,59900,339429
126389,"38823 E End Rd, Lucerne Valley, CA 92356",92356.0,34.442307,-116.81625,3,2,337,1114,292000,408813
8385,"3900 Brown Road, Ellensburg, WA 98926",98926.0,46.97684,-120.57433,5,3,249,2654,600000,1085692
437064,"890 W Mitchell Rd, McAlester, OK 74501",74501.0,34.971348,-95.83012,4,2,66,1594,89000,76398
167101,"776 Eagle Dr, Incline Village, NV 89451",89451.0,39.273,-119.94644,4,6,909,4649,3999000,2593540
268029,"10084 Manhattan Dr, Colorado Springs, CO 80924",80924.0,38.973423,-104.72652,5,4,201,4248,807072,1572302
22661,"515 W Illinois Street, Bellingham, WA 98225",98225.0,48.767906,-122.48001,3,2,509,1398,585000,628571
151319,"14287 Foothill Blvd UNIT 29, Sylmar, CA 91342",91342.0,34.319023,-118.44444,4,4,392,1523,499900,953879
369809,"415 Angus, Onalaska, TX 77360",77360.0,30.83227,-95.131874,4,3,88,1986,153000,555359
33440,"17906 33rd Place W, Lynnwood, WA 98037",98037.0,47.836304,-122.278175,5,4,404,3463,1300000,1637734
256834,"227 3rd Ave N, Greybull, WY 82426",82426.0,44.49168,-108.050476,3,2,135,1650,190000,399556
465664,"316 Matlock Rd, Cave City, AR 72521",72521.0,35.94571,-91.55382,3,3,48,1250,48500,338399
331511,"The Landry Plan, Copper Canyon",78163.0,29.73282,-98.43316,6,5,134,2927,360000,1183626
405321,"1033 Wade Hampton St, Benbrook, TX 76126",76126.0,32.674477,-97.46036,4,3,170,2152,325000,589659
424968,"401 W 7th St, Bonham, TX 75418",75418.0,33.579792,-96.18271,5,3,67,3078,189900,762423
577717,"1440 W Summerdale Ave APT 2, Chicago, IL 60640",60640.0,41.97922,-87.66646,2,2,320,1000,240000,128796
210387,"11667 N Palawan Pl, Oro Valley, AZ 85737",85737.0,32.418407,-111.01224,6,5,241,3955,895000,1703162
226329,"1504 W Marlboro Dr, Chandler, AZ 85224",85224.0,33.34762,-111.86823,4,3,396,1356,439000,489387
188940,"The Loreto Plan, Las Residencias",87124.0,35.259857,-106.64864,4,4,177,2352,372970,1164421
510820,"3245 S Blue Lake Ct, Wichita, KS 67215",67215.0,37.6357,-97.40011,6,4,141,2128,265000,396228
529393,"10312 W 49th St, Shawnee, KS 66203",66203.0,39.040634,-94.70615,5,4,145,2309,300000,583581
490259,"527 Silver St, New Iberia, LA 70560",70560.0,29.983704,-91.79656,4,2,38,1430,45000,61642
299130,"141 Sonora St, Comstock, TX 78837",78837.0,29.682732,-101.172745,3,2,95,1075,79000,122028
244851,"1811 W Resseguie St, Boise, ID 83702",83702.0,43.626503,-116.21097,6,6,631,5159,3100000,2372957
261192,"2337 Promontory Ct, Grand Junction, CO 81507",81507.0,39.081066,-108.61747,6,5,187,4501,799000,1812524
240177,"14318 S Summer Wind Ln, Herriman, UT 84096",84096.0,40.49111,-112.019226,7,4,220,3350,685000,1029592
85127,"1883 Agnew Rd UNIT 240, Santa Clara, CA 95054",95054.0,37.39655,-121.95852,3,3,746,1320,799000,818184
244792,"3118 N Network Ln, Boise, ID 83704",83704.0,43.63315,-116.28325,5,5,180,2528,411990,1296380
